iter	Passed	Remaining
0	3	3993
1	6	3392
2	9	3207
3	13	3280
4	16	3202
5	19	3168
6	22	3171
7	26	3256
8	29	3223
9	32	3191
10	35	3156
11	37	3110
12	40	3051
13	44	3128
14	47	3129
15	51	3181
16	56	3289
17	60	3292
18	62	3252
19	66	3239
20	68	3211
21	71	3179
22	74	3166
23	76	3129
24	79	3103
25	82	3086
26	84	3053
27	87	3045
28	90	3027
29	92	2999
30	95	2971
31	98	2979
32	101	2965
33	104	2965
34	106	2946
35	109	2933
36	111	2913
37	114	2902
38	117	2893
39	119	2875
40	122	2856
41	125	2851
42	127	2835
43	130	2825
44	132	2812
45	134	2799
46	137	2784
47	139	2772
48	142	2764
49	145	2758
50	147	2748
51	150	2736
52	152	2729
53	155	2720
54	157	2707
55	160	2705
56	162	2694
57	165	2682
58	167	2671
59	169	2662
60	172	2652
61	174	2641
62	176	2631
63	179	2622
64	181	2617
65	184	2607
66	186	2597
67	189	2592
68	191	2583
69	193	2574
70	196	2566
71	198	2560
72	201	2553
73	203	2545
74	205	2537
75	208	2529
76	210	2521
77	212	2514
78	215	2509
79	217	2502
80	219	2495
81	222	2490
82	224	2484
83	227	2477
84	230	2476
85	233	2478
86	235	2476
87	239	2482
88	242	2477
89	245	2477
90	247	2473
91	249	2466
92	252	2460
93	254	2454
94	257	2455
95	260	2452
96	262	2446
97	265	2441
98	267	2437
99	272	2451
100	275	2448
101	277	2442
102	280	2445
103	283	2446
104	286	2440
105	289	2439
106	292	2437
107	294	2433
108	298	2435
109	300	2434
110	303	2428
111	305	2424
112	308	2425
113	311	2420
114	313	2415
115	316	2410
116	318	2407
117	321	2406
118	324	2402
119	328	2408
120	331	2410
121	334	2408
122	337	2403
123	339	2397
124	342	2399
125	345	2394
126	348	2392
127	350	2387
128	353	2385
129	355	2379
130	358	2377
131	360	2372
132	363	2370
133	366	2366
134	368	2362
135	371	2359
136	374	2361
137	378	2361
138	380	2358
139	384	2360
140	387	2360
141	390	2357
142	393	2357
143	396	2355
144	398	2351
145	402	2356
146	405	2351
147	407	2346
148	410	2342
149	412	2339
150	415	2338
151	418	2334
152	420	2329
153	423	2323
154	425	2319
155	428	2315
156	430	2314
157	433	2309
158	435	2304
159	438	2300
160	440	2297
161	443	2294
162	445	2288
163	448	2284
164	450	2280
165	453	2276
166	456	2277
167	459	2273
168	461	2269
169	464	2266
170	466	2261
171	470	2266
172	473	2261
173	475	2257
174	478	2253
175	480	2249
176	484	2250
177	486	2248
178	489	2245
179	492	2241
180	494	2236
181	497	2237
182	500	2232
183	502	2227
184	505	2224
185	507	2220
186	509	2215
187	513	2217
188	516	2214
189	518	2210
190	520	2206
191	523	2201
192	526	2199
193	528	2195
194	530	2191
195	533	2186
196	535	2182
197	538	2179
198	541	2177
199	543	2174
200	546	2171
201	548	2168
202	551	2165
203	554	2165
204	557	2161
205	560	2158
206	562	2154
207	565	2154
208	568	2149
209	570	2145
210	572	2141
211	575	2137
212	577	2133
213	580	2133
214	584	2135
215	587	2131
216	589	2127
217	591	2122
218	595	2123
219	597	2119
220	600	2115
221	602	2110
222	604	2106
223	607	2104
224	610	2102
225	612	2098
226	615	2095
227	617	2091
228	620	2089
229	623	2085
230	625	2081
231	627	2077
232	629	2073
233	632	2070
234	636	2070
235	638	2067
236	641	2064
237	643	2061
238	646	2058
239	649	2057
240	652	2054
241	655	2053
242	658	2051
243	662	2051
244	665	2049
245	667	2045
246	669	2041
247	671	2037
248	675	2036
249	677	2033
250	680	2029
251	682	2026
252	684	2022
253	687	2020
254	690	2016
255	692	2012
256	694	2008
257	697	2005
258	699	2000
259	703	2000
260	705	1997
261	708	1994
262	710	1990
263	712	1986
264	715	1985
265	718	1982
266	720	1979
267	723	1975
268	725	1971
269	729	1971
270	732	1969
271	734	1965
272	736	1962
273	739	1958
274	741	1954
275	743	1951
276	746	1948
277	748	1944
278	750	1940
279	753	1936
280	757	1938
281	760	1935
282	762	1931
283	764	1928
284	766	1924
285	769	1922
286	772	1918
287	774	1914
288	776	1910
289	778	1906
290	781	1903
291	784	1901
292	786	1898
293	789	1895
294	791	1892
295	793	1888
296	796	1884
297	799	1882
298	801	1878
299	803	1874
300	805	1871
301	807	1867
302	809	1863
303	813	1861
304	815	1859
305	818	1855
306	820	1852
307	822	1848
308	824	1844
309	828	1843
310	830	1839
311	832	1836
312	834	1832
313	836	1828
314	839	1825
315	843	1824
316	845	1821
317	848	1819
318	850	1815
319	852	1811
320	855	1810
321	858	1806
322	860	1803
323	862	1799
324	864	1795
325	867	1792
326	871	1794
327	874	1791
328	876	1787
329	878	1784
330	881	1780
331	883	1777
332	886	1775
333	889	1773
334	891	1769
335	893	1765
336	896	1763
337	904	1771
338	908	1772
339	912	1771
340	917	1772
341	920	1771
342	924	1771
